State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Arkansas,2050,0.709,176.94,46.18,0.0498,0.0,0.0188,9.4,0.134,0.0658,0.2126,2.2984,2.7297,2.932,3.2344,3.6381
Arkansas,2060,0.709,163.07,45.22,0.0447,0.0,0.0188,9.4,0.1209,0.0594,0.1919,2.0225,2.4135,2.6159,2.9182,3.322
California,2022,0.756,640.55,55.0,0.1807,0.0,0.0993,7.9,0.5421,0.2661,0.9834,9.9385,11.8294,12.0314,12.3334,12.7365
California,2030,0.756,217.79,48.8,0.1693,0.0,0.0993,7.9,0.1635,0.0803,0.2967,8.2612,8.901,9.103,9.4049,9.8081
California,2040,0.756,178.55,47.14,0.155,0.0,0.0993,7.9,0.1295,0.0636,0.2349,7.3071,7.8344,8.0364,8.3383,8.7415
California,2050,0.756,164.55,46.18,0.1408,0.0,0.0993,7.9,0.1169,0.0574,0.2121,6.4995,6.9853,7.1872,7.4892,7.8923
California,2060,0.756,151.65,45.22,0.1265,0.0,0.0993,7.9,0.1055,0.0518,0.1914,5.7194,6.1674,6.3694,6.6713,7.0745
Colorado,2022,0.763,609.18,55.0,0.0915,0.0001,0.0258,8.4,0.5106,0.2506,0.9827,5.0325,6.8023,7.0044,7.3065,7.7098
Colorado,2030,0.763,207.12,48.8,0.0857,0.0001,0.0258,8.4,0.154,0.0756,0.2964,4.1832,4.7352,4.9373,5.2394,5.6427
Colorado,2040,0.763,169.81,47.14,0.0785,0.0001,0.0258,8.4,0.122,0.0599,0.2347,3.7001,4.1425,4.3446,4.6467,5.0501
Colorado,2050,0.763,156.49,46.18,0.0713,0.0001,0.0258,8.4,0.1101,0.0541,0.2119,3.2911,3.6931,3.8952,4.1973,4.6007
Colorado,2060,0.763,144.22,45.22,0.064,0.0001,0.0258,8.4,0.0994,0.0488,0.1913,2.8961,3.2614,3.4635,3.7656,4.1689
Connecticut,2022,0.661,690.25,55.0,0.1907,0.0003,0.0108,9.6,0.6676,0.3277,0.984,10.4885,12.479,12.6814,12.9838,13.3877
Connecticut,2030,0.661,234.69,48.8,0.1787,0.0003,0.0108,9.6,0.2014,0.0989,0.2968,8.7184,9.3267,9.5291,9.8315,10.2353
Connecticut,2040,0.661,192.41,47.14,0.1636,0.0003,0.0108,9.6,0.1595,0.0783,0.2351,7.7115,8.1955,8.3979,8.7003,9.1041
Connecticut,2050,0.661,177.32,46.18,0.1485,0.0003,0.0108,9.6,0.144,0.0707,0.2122,6.8592,7.2973,7.4997,7.8021,8.2059
Connecticut,2060,0.661,163.42,45.22,0.1335,0.0003,0.0108,9.6,0.1299,0.0638,0.1915,6.0359,6.4323,6.6347,6.9371,7.3409
Delaware,2022,0.721,687.58,55.0,0.0861,0.0006,0.0039,9.7,0.6102,0.2996,0.9856,4.7355,6.6354,6.8378,7.1403,7.5442
Delaware,2030,0.721,233.78,48.8,0.0807,0.0006,0.0039,9.7,0.1841,0.0904,0.2973,3.9363,4.5126,4.715,5.0175,5.4214
