State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Missouri,2040,0.727,192.33,45.17,0.0657,0.0001,0.0085,9.1,0.139,0.0683,0.0,2.9685,3.1843,3.6889,3.6889,3.6889
Missouri,2050,0.727,177.25,44.25,0.0597,0.0001,0.0085,9.1,0.1255,0.0616,0.0,2.6404,2.8361,3.3407,3.3407,3.3407
Missouri,2060,0.727,163.36,43.33,0.0536,0.0001,0.0085,9.1,0.1133,0.0556,0.0,2.3235,2.5009,3.0055,3.0055,3.0055
Montana,2022,0.714,1376.53,55.0,0.0645,0.0001,0.0022,7.5,1.2334,0.6055,0.0,3.5475,5.3887,5.8925,5.8925,5.8925
Montana,2030,0.714,234.01,47.0,0.0604,0.0001,0.0022,7.5,0.1792,0.088,0.0,2.84,3.1095,3.6132,3.6132,3.6132
Montana,2040,0.714,191.85,45.17,0.0553,0.0001,0.0022,7.5,0.1412,0.0693,0.0,2.4996,2.7124,3.2161,3.2161,3.2161
Montana,2050,0.714,176.81,44.25,0.0502,0.0001,0.0022,7.5,0.1275,0.0626,0.0,2.2233,2.4157,2.9194,2.9194,2.9194
Montana,2060,0.714,162.95,43.33,0.0451,0.0001,0.0022,7.5,0.115,0.0565,0.0,1.9564,2.1303,2.634,2.634,2.634
Nebraska,2022,0.789,1377.92,55.0,0.079,0.0004,0.0036,8.4,1.1162,0.5479,0.0,4.345,6.0132,6.5174,6.5174,6.5174
Nebraska,2030,0.789,234.25,47.0,0.074,0.0004,0.0036,8.4,0.1621,0.0796,0.0,3.4785,3.7243,4.2285,4.2285,4.2285
Nebraska,2040,0.789,192.04,45.17,0.0678,0.0004,0.0036,8.4,0.1278,0.0627,0.0,3.0615,3.256,3.7602,3.7602,3.7602
Nebraska,2050,0.789,176.99,44.25,0.0615,0.0004,0.0036,8.4,0.1154,0.0566,0.0,2.7231,2.8992,3.4034,3.4034,3.4034
Nebraska,2060,0.789,163.11,43.33,0.0553,0.0004,0.0036,8.4,0.1041,0.0511,0.0,2.3963,2.5555,3.0597,3.0597,3.0597
Nevada,2022,0.762,1361.01,55.0,0.0704,0.001,0.003,7.8,1.1427,0.561,0.0,3.872,5.5796,6.0835,6.0835,6.0835
Nevada,2030,0.762,231.37,47.0,0.066,0.001,0.003,7.8,0.166,0.0815,0.0,3.0998,3.3513,3.8552,3.8552,3.8552
Nevada,2040,0.762,189.69,45.17,0.0604,0.001,0.003,7.8,0.1308,0.0642,0.0,2.7282,2.9272,3.4311,3.4311,3.4311
Nevada,2050,0.762,174.82,44.25,0.0548,0.001,0.003,7.8,0.1181,0.058,0.0,2.4267,2.6067,3.1106,3.1106,3.1106
Nevada,2060,0.762,161.11,43.33,0.0493,0.001,0.003,7.8,0.1066,0.0523,0.0,2.1354,2.2982,2.8021,2.8021,2.8021
New Hampshire,2022,0.631,1386.62,55.0,0.1606,0.0003,0.001,9.5,1.406,0.6902,0.0,8.833,10.9305,11.4352,11.4352,11.4352
New Hampshire,2030,0.631,235.73,47.0,0.1505,0.0003,0.001,9.5,0.2043,0.1003,0.0,7.0715,7.3773,7.8821,7.8821,7.8821
New Hampshire,2040,0.631,193.26,45.17,0.1378,0.0003,0.001,9.5,0.1609,0.079,0.0,6.2237,6.465,6.9697,6.9697,6.9697
